generation biomass,generation solar,generation fossil oil,generation nuclear,generation fossil gas,generation wind onshore
543.0,4129.0,361.0,4952.0,4604.0,470.0
539.0,4642.0,351.0,4950.0,4475.0,472.0
547.0,4976.0,349.0,4956.0,4376.0,683.0
538.0,5044.0,356.0,4959.0,4512.0,1041.0
534.0,4887.0,365.0,4953.0,4178.0,1652.0
537.0,4641.0,366.0,4956.0,4035.0,2761.0
537.0,4279.0,364.0,4955.0,3821.0,3277.0
532.0,3824.0,362.0,4799.0,4059.0,3281.0
533.0,3132.0,356.0,4186.0,4472.0,3781.0
528.0,2383.0,351.0,4368.0,4553.0,3943.0
536.0,1586.0,365.0,4657.0,4490.0,4028.0
535.0,891.0,364.0,4878.0,4664.0,3661.0
531.0,696.0,360.0,4961.0,4684.0,3485.0
528.0,669.0,352.0,4959.0,4728.0,3276.0
499.0,1280.0,371.0,6000.0,4659.0,6210.0
502.0,1253.0,370.0,5995.0,4199.0,5993.0
491.0,1231.0,368.0,5997.0,4448.0,5529.0
495.0,1223.0,360.0,5998.0,4157.0,5127.0
503.0,1189.0,360.0,6003.0,4001.0,4940.0
505.0,1142.0,360.0,6005.0,4219.0,4735.0
506.0,1043.0,364.0,6003.0,4338.0,4266.0
505.0,979.0,374.0,6000.0,4954.0,3849.0
510.0,1336.0,378.0,5997.0,5447.0,3369.0
501.0,2121.0,381.0,5996.0,5881.0,2959.0
494.0,2841.0,364.0,5989.0,6076.0,3226.0
498.0,3556.0,367.0,5974.0,5726.0,4273.0
491.0,3756.0,362.0,5971.0,5583.0,5914.0
495.0,3639.0,367.0,5969.0,5637.0,7320.0
501.0,4133.0,369.0,5964.0,5684.0,7837.0
498.0,4896.0,367.0,5961.0,6098.0,7890.0
491.0,4647.0,367.0,5956.0,6242.0,7996.0
495.0,4184.0,368.0,5969.0,6056.0,7955.0
497.0,3631.0,364.0,5978.0,5839.0,7582.0
483.0,2772.0,371.0,5986.0,6477.0,6821.0
482.0,2013.0,354.0,5981.0,6316.0,6198.0
481.0,1193.0,386.0,5985.0,5881.0,6139.0
481.0,636.0,384.0,5984.0,5785.0,6398.0
479.0,573.0,381.0,5987.0,5519.0,6262.0
546.0,433.0,383.0,6741.0,4178.0,5908.0
516.0,391.0,370.0,6741.0,3912.0,5509.0
508.0,352.0,372.0,6742.0,3718.0,5204.0
509.0,328.0,373.0,6743.0,3768.0,4891.0
518.0,327.0,373.0,6744.0,3707.0,4738.0
528.0,320.0,361.0,6748.0,3706.0,4868.0
533.0,265.0,354.0,6750.0,3946.0,4809.0
525.0,223.0,347.0,6748.0,3890.0,4849.0
529.0,708.0,332.0,6747.0,4066.0,4285.0
534.0,2225.0,305.0,6749.0,4535.0,3889.0
533.0,3943.0,315.0,6749.0,4441.0,3330.0
531.0,4514.0,315.0,6744.0,4513.0,2911.0
522.0,4926.0,311.0,6741.0,4654.0,2376.0
509.0,5067.0,311.0,6739.0,4760.0,1917.0
504.0,5092.0,269.0,6732.0,4591.0,1741.0
506.0,5019.0,263.0,6730.0,4964.0,1680.0
500.0,4803.0,259.0,6729.0,5046.0,1774.0
502.0,4507.0,258.0,6728.0,4899.0,2001.0
514.0,4010.0,258.0,6717.0,4677.0,2574.0
513.0,3321.0,270.0,6727.0,4606.0,3022.0
511.0,2089.0,295.0,6736.0,4805.0,3312.0
516.0,957.0,301.0,6748.0,4932.0,3478.0
519.0,721.0,301.0,6762.0,5136.0,3726.0
515.0,691.0,302.0,6760.0,5209.0,3968.0
489.0,39.0,314.0,6846.0,5410.0,3552.0
483.0,38.0,301.0,6852.0,4445.0,3334.0
485.0,37.0,297.0,6854.0,4287.0,3486.0
477.0,37.0,296.0,6855.0,4223.0,3492.0
480.0,36.0,298.0,6858.0,4178.0,3541.0
482.0,41.0,288.0,6862.0,4283.0,3603.0
477.0,45.0,299.0,6861.0,4444.0,3952.0
477.0,58.0,299.0,6864.0,5068.0,4209.0
495.0,317.0,333.0,6866.0,5684.0,4171.0
493.0,1107.0,348.0,6866.0,6295.0,3873.0
490.0,2133.0,352.0,6863.0,6674.0,3865.0
490.0,3193.0,353.0,6860.0,6918.0,3802.0
487.0,3932.0,360.0,6855.0,6848.0,3676.0
492.0,4156.0,364.0,6853.0,6954.0,3620.0
490.0,4285.0,374.0,6855.0,7022.0,3774.0
486.0,4135.0,366.0,6857.0,6520.0,4045.0
480.0,3883.0,372.0,6855.0,6377.0,4345.0
487.0,3513.0,386.0,6858.0,6247.0,4914.0
481.0,3253.0,390.0,6858.0,6189.0,5564.0
470.0,2403.0,391.0,6860.0,5975.0,5966.0
468.0,1060.0,397.0,6862.0,6141.0,5879.0
476.0,530.0,388.0,6862.0,6476.0,5861.0
477.0,444.0,395.0,6867.0,5953.0,5431.0
477.0,386.0,384.0,6849.0,5207.0,5147.0
537.0,384.0,412.0,6012.0,5151.0,996.0
537.0,167.0,399.0,6014.0,5181.0,897.0
544.0,102.0,389.0,6014.0,4917.0,934.0
553.0,103.0,386.0,6014.0,4496.0,933.0
559.0,102.0,385.0,6014.0,4488.0,898.0
564.0,102.0,371.0,6014.0,4645.0,826.0
561.0,102.0,386.0,6013.0,5093.0,890.0
559.0,103.0,401.0,6010.0,5641.0,998.0
566.0,233.0,423.0,6010.0,6096.0,1183.0
564.0,1209.0,431.0,6005.0,5896.0,1214.0
563.0,2927.0,436.0,6004.0,5695.0,852.0
547.0,4515.0,425.0,6003.0,5666.0,828.0
554.0,5044.0,419.0,6003.0,5580.0,1346.0
560.0,5107.0,420.0,5879.0,5449.0,2139.0
565.0,4900.0,425.0,6007.0,5433.0,2602.0
561.0,4463.0,420.0,6005.0,5395.0,3146.0
556.0,4215.0,410.0,5997.0,5288.0,3812.0
564.0,3756.0,428.0,6000.0,5262.0,4411.0
558.0,2857.0,428.0,6001.0,5437.0,4682.0
565.0,1303.0,439.0,6002.0,5800.0,4400.0
577.0,633.0,423.0,6004.0,6067.0,4443.0
562.0,510.0,427.0,6005.0,6088.0,4419.0
575.0,497.0,429.0,6007.0,5814.0,3976.0
578.0,466.0,427.0,6008.0,5385.0,3299.0
525.0,26.0,211.0,5041.0,4827.0,4256.0
515.0,25.0,211.0,5039.0,4185.0,4802.0
510.0,25.0,211.0,5041.0,4066.0,5261.0
500.0,25.0,210.0,5042.0,3994.0,5647.0
503.0,25.0,194.0,5039.0,3922.0,5907.0
499.0,25.0,200.0,5040.0,3965.0,6487.0
501.0,23.0,209.0,5041.0,3945.0,7036.0
496.0,35.0,211.0,5043.0,3973.0,7397.0
495.0,394.0,211.0,5043.0,4078.0,8140.0
516.0,1228.0,212.0,5044.0,4220.0,9148.0
547.0,2045.0,212.0,5042.0,4085.0,9866.0
539.0,2423.0,213.0,5042.0,3728.0,10448.0
554.0,2437.0,213.0,5043.0,3863.0,10819.0
550.0,2022.0,212.0,5042.0,3946.0,11383.0
546.0,1630.0,213.0,5042.0,3789.0,11916.0
542.0,1334.0,211.0,5042.0,3758.0,12171.0
544.0,860.0,210.0,5042.0,4071.0,12258.0
553.0,254.0,210.0,5042.0,3982.0,12239.0
570.0,57.0,211.0,5041.0,3682.0,12399.0
567.0,54.0,214.0,5043.0,3508.0,12793.0
559.0,55.0,213.0,5043.0,3506.0,12806.0
545.0,34.0,214.0,5045.0,3375.0,12675.0
554.0,31.0,213.0,5045.0,3606.0,12677.0
537.0,31.0,206.0,5046.0,3758.0,12580.0
468.0,44.0,401.0,5370.0,6789.0,1661.0
444.0,42.0,386.0,5398.0,6012.0,1436.0
425.0,42.0,380.0,5428.0,5459.0,1350.0
446.0,42.0,378.0,5452.0,5248.0,1386.0
463.0,42.0,375.0,5452.0,5409.0,1349.0
467.0,42.0,378.0,5452.0,5644.0,1286.0
470.0,42.0,379.0,5459.0,6915.0,1263.0
464.0,45.0,399.0,5465.0,8118.0,1266.0
478.0,157.0,417.0,5464.0,8974.0,1237.0
484.0,1104.0,411.0,5465.0,9546.0,1205.0
483.0,2190.0,415.0,5464.0,9728.0,1196.0
479.0,3012.0,421.0,5469.0,9668.0,1146.0
479.0,3262.0,425.0,5466.0,9752.0,1170.0
479.0,3208.0,431.0,5468.0,9860.0,1210.0
474.0,3027.0,433.0,5467.0,9443.0,1034.0
474.0,2630.0,424.0,5467.0,9672.0,924.0
482.0,1615.0,423.0,5468.0,10336.0,905.0
483.0,422.0,421.0,5469.0,11171.0,1091.0
488.0,86.0,422.0,5470.0,12227.0,1110.0
488.0,63.0,420.0,5471.0,12415.0,1051.0
488.0,56.0,419.0,5471.0,12532.0,1175.0
491.0,44.0,432.0,5471.0,12693.0,1430.0
489.0,42.0,435.0,5472.0,10741.0,1631.0
487.0,42.0,434.0,5473.0,9445.0,1729.0
514.0,32.0,275.0,7104.0,4338.0,8027.0
516.0,32.0,270.0,7102.0,4087.0,7668.0
519.0,32.0,270.0,7103.0,4091.0,7337.0
515.0,32.0,270.0,7103.0,4062.0,6970.0
515.0,32.0,274.0,7102.0,3893.0,6966.0
515.0,32.0,274.0,7103.0,4020.0,6890.0
520.0,32.0,277.0,7104.0,4233.0,6853.0
518.0,37.0,288.0,7102.0,4919.0,6849.0
520.0,56.0,334.0,7102.0,5981.0,6964.0
527.0,516.0,335.0,7101.0,5959.0,6922.0
526.0,1475.0,338.0,7101.0,5995.0,6320.0
502.0,2284.0,335.0,7102.0,5992.0,5670.0
505.0,2857.0,349.0,7101.0,5882.0,5901.0
517.0,3217.0,353.0,7099.0,5626.0,6300.0
517.0,3253.0,350.0,7099.0,5445.0,6635.0
519.0,3084.0,349.0,7098.0,5399.0,6481.0
533.0,2475.0,358.0,7098.0,5903.0,6184.0
538.0,1187.0,361.0,7097.0,7059.0,5758.0
535.0,303.0,359.0,7098.0,8464.0,5607.0
548.0,98.0,350.0,7098.0,8877.0,5656.0
548.0,80.0,350.0,7098.0,9161.0,5789.0
546.0,44.0,345.0,7097.0,9945.0,5689.0
537.0,44.0,350.0,7099.0,9364.0,5676.0
532.0,35.0,346.0,7099.0,6989.0,5925.0
528.0,28.0,287.0,7098.0,5673.0,6174.0
531.0,28.0,282.0,7099.0,4462.0,6637.0
535.0,27.0,283.0,7100.0,4247.0,6808.0
530.0,27.0,283.0,7099.0,4314.0,6744.0
524.0,27.0,280.0,7098.0,4325.0,6780.0
524.0,27.0,277.0,7098.0,4519.0,6224.0
532.0,27.0,281.0,7096.0,4877.0,5424.0
540.0,32.0,324.0,7097.0,5742.0,4958.0
539.0,39.0,343.0,7097.0,6583.0,4773.0
535.0,411.0,345.0,7097.0,6658.0,4645.0
507.0,1258.0,347.0,7098.0,6920.0,4425.0
530.0,1960.0,351.0,7099.0,6651.0,4302.0
534.0,2480.0,352.0,7099.0,6661.0,4677.0
533.0,2688.0,359.0,7099.0,6446.0,5121.0
528.0,2683.0,362.0,7099.0,6415.0,5330.0
516.0,2420.0,360.0,7098.0,6723.0,5528.0
518.0,2003.0,352.0,7099.0,6275.0,5518.0
525.0,905.0,352.0,7099.0,6931.0,5440.0
531.0,213.0,353.0,7099.0,8088.0,5806.0
531.0,112.0,356.0,7100.0,8441.0,6321.0
540.0,79.0,355.0,7101.0,8539.0,6901.0
527.0,32.0,347.0,7102.0,8809.0,7571.0
504.0,31.0,346.0,7102.0,6398.0,7913.0
501.0,31.0,339.0,7102.0,4840.0,8204.0
499.0,31.0,286.0,7105.0,3825.0,8374.0
494.0,31.0,276.0,7103.0,3485.0,8407.0
464.0,31.0,293.0,7103.0,3466.0,8338.0
464.0,31.0,296.0,7103.0,3536.0,8323.0
463.0,31.0,294.0,7104.0,3469.0,8080.0
465.0,31.0,297.0,7104.0,3424.0,7901.0
496.0,31.0,299.0,7102.0,3446.0,8032.0
493.0,33.0,303.0,7099.0,4156.0,8288.0
505.0,50.0,341.0,7073.0,4660.0,8799.0
501.0,562.0,345.0,7065.0,4292.0,9263.0
485.0,1336.0,345.0,7066.0,4529.0,9169.0
487.0,1984.0,362.0,7066.0,4674.0,9300.0
483.0,2287.0,362.0,7085.0,4448.0,9645.0
484.0,2274.0,363.0,7099.0,4227.0,9606.0
488.0,2062.0,362.0,7100.0,3997.0,9890.0
496.0,1593.0,360.0,7100.0,3984.0,10212.0
469.0,939.0,364.0,7100.0,4217.0,10274.0
441.0,287.0,367.0,7099.0,4651.0,10112.0
488.0,67.0,366.0,7100.0,4743.0,10081.0
513.0,62.0,367.0,7100.0,4721.0,10678.0
518.0,61.0,369.0,7101.0,4838.0,11114.0
528.0,59.0,343.0,7102.0,4699.0,11935.0
474.0,59.0,336.0,7100.0,4354.0,12091.0
462.0,59.0,334.0,7101.0,4065.0,11295.0
508.0,59.0,297.0,7101.0,3802.0,10525.0
464.0,59.0,293.0,7101.0,3627.0,9822.0
480.0,59.0,292.0,7101.0,3602.0,9202.0
478.0,59.0,292.0,7100.0,3563.0,8451.0
478.0,59.0,290.0,7101.0,3407.0,8754.0
499.0,59.0,292.0,7100.0,3476.0,8971.0
497.0,59.0,296.0,7102.0,3637.0,8614.0
508.0,59.0,341.0,7100.0,4132.0,8693.0
523.0,40.0,357.0,7100.0,4980.0,9101.0
527.0,352.0,345.0,7105.0,4879.0,9430.0
520.0,1229.0,365.0,7104.0,4774.0,9482.0
478.0,1855.0,354.0,7102.0,4894.0,10147.0
461.0,2270.0,367.0,7101.0,4765.0,11129.0
469.0,2466.0,371.0,7102.0,4238.0,12417.0
493.0,2388.0,367.0,7102.0,4116.0,13423.0
498.0,2126.0,345.0,7101.0,4388.0,13229.0
495.0,1652.0,345.0,7101.0,4811.0,12153.0
501.0,773.0,356.0,7101.0,4910.0,11248.0
500.0,222.0,365.0,7100.0,6025.0,9878.0
498.0,99.0,373.0,7100.0,5963.0,9563.0
499.0,88.0,370.0,7102.0,5804.0,9971.0
499.0,75.0,364.0,7102.0,6363.0,9614.0
481.0,75.0,361.0,7103.0,5891.0,9612.0
457.0,75.0,347.0,7104.0,5066.0,9578.0
461.0,75.0,287.0,7104.0,4909.0,9550.0
433.0,74.0,269.0,7102.0,4258.0,9273.0
417.0,57.0,267.0,7103.0,4154.0,8637.0
405.0,38.0,276.0,7104.0,4224.0,8014.0
408.0,38.0,276.0,7105.0,4090.0,7669.0
441.0,38.0,278.0,7104.0,4192.0,7110.0
472.0,37.0,282.0,7103.0,4317.0,6581.0
486.0,37.0,285.0,7104.0,4216.0,6513.0
497.0,62.0,305.0,7102.0,4121.0,6259.0
487.0,771.0,303.0,7101.0,4581.0,5823.0
503.0,1914.0,305.0,7102.0,4678.0,5356.0
514.0,2804.0,298.0,7103.0,4647.0,5293.0
536.0,3408.0,303.0,7103.0,4269.0,5581.0
524.0,3584.0,303.0,7103.0,4251.0,6038.0
513.0,3496.0,299.0,7102.0,4446.0,6474.0
523.0,3203.0,294.0,7101.0,4137.0,6520.0
522.0,2515.0,294.0,7101.0,4234.0,6174.0
517.0,1121.0,294.0,7099.0,4837.0,5629.0
516.0,233.0,294.0,7099.0,5673.0,5449.0
529.0,89.0,295.0,7101.0,5857.0,5808.0
532.0,79.0,296.0,7102.0,5780.0,6118.0
525.0,71.0,296.0,7104.0,5751.0,6198.0
523.0,70.0,270.0,7104.0,5148.0,6120.0
508.0,70.0,270.0,7106.0,4919.0,6361.0
504.0,70.0,272.0,7107.0,4757.0,6439.0
477.0,61.0,273.0,7105.0,4310.0,6574.0
466.0,54.0,270.0,7106.0,4042.0,6716.0
458.0,54.0,270.0,7106.0,4177.0,6682.0
462.0,54.0,270.0,7105.0,4336.0,6429.0
465.0,54.0,271.0,7108.0,4146.0,6512.0
464.0,54.0,271.0,7108.0,4143.0,6441.0
478.0,55.0,273.0,7108.0,4124.0,6324.0
488.0,74.0,271.0,7104.0,4184.0,6024.0
502.0,360.0,255.0,7104.0,4334.0,5478.0
519.0,717.0,260.0,7104.0,4747.0,4966.0
504.0,817.0,264.0,7103.0,5040.0,4931.0
513.0,827.0,263.0,7103.0,5136.0,4996.0
521.0,824.0,263.0,7103.0,5155.0,4839.0
524.0,669.0,264.0,7103.0,5019.0,4725.0
516.0,481.0,261.0,7104.0,4925.0,5252.0
513.0,262.0,261.0,7104.0,4626.0,6269.0
506.0,103.0,261.0,7104.0,4560.0,6914.0
514.0,69.0,262.0,7105.0,4994.0,7114.0
515.0,69.0,264.0,7105.0,5390.0,6679.0
514.0,67.0,263.0,7106.0,5550.0,6432.0
518.0,65.0,271.0,7105.0,5509.0,6030.0
520.0,65.0,272.0,7104.0,5257.0,5268.0
507.0,65.0,275.0,7103.0,4784.0,4804.0
498.0,65.0,273.0,7105.0,5136.0,4673.0
502.0,65.0,272.0,7104.0,4181.0,4767.0
471.0,65.0,268.0,7105.0,4050.0,4783.0
467.0,65.0,265.0,7104.0,4065.0,5071.0
473.0,65.0,263.0,7104.0,3942.0,6077.0
472.0,66.0,268.0,7102.0,4067.0,7103.0
503.0,74.0,269.0,7100.0,4442.0,7802.0
509.0,66.0,290.0,7099.0,4932.0,8138.0
523.0,68.0,331.0,7103.0,5791.0,8654.0
526.0,317.0,340.0,7102.0,5136.0,9222.0
531.0,962.0,342.0,7103.0,5406.0,8841.0
524.0,1714.0,343.0,7102.0,5346.0,8650.0
527.0,2127.0,342.0,7102.0,5845.0,8548.0
525.0,2268.0,342.0,7053.0,6046.0,8354.0
528.0,2356.0,340.0,6946.0,5966.0,8496.0
531.0,2288.0,336.0,6837.0,5925.0,8104.0
516.0,2003.0,328.0,6729.0,5581.0,7708.0
520.0,1307.0,325.0,6623.0,6354.0,7194.0
528.0,414.0,335.0,6531.0,7523.0,6660.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
525.0,40.0,341.0,6225.0,7693.0,6890.0
522.0,38.0,343.0,6198.0,6597.0,6577.0
515.0,38.0,343.0,6135.0,5821.0,6033.0
510.0,38.0,281.0,6100.0,5305.0,5733.0
508.0,38.0,274.0,6097.0,4333.0,5908.0
510.0,38.0,271.0,6096.0,3955.0,6121.0
507.0,38.0,270.0,6097.0,4168.0,6292.0
513.0,38.0,271.0,6096.0,4090.0,6027.0
518.0,40.0,268.0,6097.0,4462.0,5097.0
523.0,46.0,276.0,6096.0,4847.0,4566.0
536.0,41.0,309.0,6093.0,6115.0,4345.0
543.0,60.0,326.0,6094.0,7239.0,4310.0
537.0,435.0,323.0,6094.0,7314.0,3953.0
529.0,1034.0,331.0,6094.0,7194.0,3405.0
525.0,1552.0,341.0,6095.0,7768.0,3263.0
520.0,1806.0,342.0,6094.0,8299.0,3536.0
524.0,1740.0,331.0,6095.0,8682.0,4080.0
525.0,1466.0,335.0,6095.0,8216.0,4341.0
526.0,1204.0,335.0,6094.0,8465.0,4083.0
534.0,836.0,333.0,6094.0,9628.0,3768.0
535.0,295.0,332.0,6094.0,10425.0,3554.0
532.0,92.0,338.0,6094.0,11068.0,3027.0
536.0,87.0,342.0,6097.0,11052.0,3069.0
540.0,86.0,343.0,6097.0,11092.0,3331.0
541.0,82.0,339.0,6097.0,10631.0,3558.0
533.0,81.0,345.0,6097.0,8350.0,3784.0
529.0,81.0,342.0,6096.0,6753.0,4099.0
529.0,81.0,310.0,6098.0,5576.0,4608.0
532.0,81.0,270.0,6098.0,4480.0,5339.0
533.0,81.0,264.0,6099.0,4385.0,5825.0
532.0,81.0,266.0,6099.0,4404.0,6213.0
528.0,81.0,266.0,6098.0,4351.0,6903.0
531.0,81.0,271.0,6097.0,4534.0,7160.0
532.0,81.0,274.0,6095.0,4381.0,7645.0
542.0,82.0,297.0,6095.0,5218.0,7866.0
552.0,100.0,343.0,6096.0,6226.0,7892.0
544.0,616.0,348.0,6096.0,5687.0,7767.0
549.0,1488.0,350.0,6097.0,5910.0,7352.0
543.0,1969.0,357.0,6096.0,5786.0,7725.0
534.0,2183.0,354.0,6097.0,5828.0,8072.0
535.0,2170.0,358.0,6097.0,5853.0,8784.0
543.0,2057.0,358.0,6129.0,5685.0,9538.0
531.0,1513.0,354.0,6199.0,5784.0,9599.0
529.0,931.0,354.0,6208.0,5745.0,9901.0
531.0,367.0,352.0,6212.0,6265.0,9668.0
537.0,106.0,359.0,6275.0,7129.0,9574.0
531.0,102.0,366.0,6366.0,7302.0,9635.0
529.0,94.0,366.0,6436.0,7341.0,9657.0
540.0,78.0,349.0,6498.0,6211.0,9997.0
538.0,70.0,349.0,6513.0,5487.0,9887.0
532.0,70.0,333.0,6518.0,4683.0,9995.0
527.0,70.0,275.0,6553.0,3996.0,10246.0
515.0,70.0,265.0,6630.0,3558.0,10301.0
516.0,70.0,256.0,6721.0,3564.0,10104.0
500.0,70.0,262.0,6807.0,3599.0,10020.0
496.0,70.0,266.0,6851.0,3505.0,10096.0
502.0,70.0,277.0,6882.0,3574.0,10312.0
